Layer_Index,Wedge_Index,Wedge_Start_Rad,Wedge_End_Rad,Wedge_Start_Degrees,Wedge_End_Degrees
4,53,2.596470,2.655881,148.766754,152.170761
1,54,2.650719,2.699806,151.875000,154.687500
2,54,2.648554,2.701971,151.750992,154.811508
3,54,2.647236,2.703289,151.675461,154.887039
4,54,2.645557,2.704968,151.579239,154.983246
1,55,2.699806,2.748893,154.687500,157.500000
2,55,2.697642,2.751058,154.563477,157.624023
3,55,2.696323,2.752376,154.487946,157.699539
4,55,2.694644,2.754056,154.391754,157.795761
1,56,2.748893,2.797981,157.500000,160.312500
2,56,2.746729,2.800145,157.375992,160.436508
3,56,2.745411,2.801464,157.300461,160.512039
4,56,2.743732,2.803143,157.204254,160.608246
1,57,2.797981,2.847068,160.312500,163.125000
2,57,2.795816,2.849233,160.188477,163.249023
3,57,2.794498,2.850551,160.112946,163.324554
4,57,2.792819,2.852230,160.016739,163.420746
1,58,2.847068,2.896156,163.125000,165.937500
2,58,2.844904,2.898320,163.000992,166.061508
3,58,2.843586,2.899638,162.925461,166.137039
4,58,2.841907,2.901318,162.829254,166.233246
1,59,2.896156,2.945243,165.937500,168.750000
2,59,2.893991,2.947408,165.813477,168.874023
3,59,2.892673,2.948726,165.737961,168.949554
4,59,2.890994,2.950405,165.641739,169.045746
1,60,2.945243,2.994330,168.750000,171.562500
2,60,2.943079,2.996495,168.625977,171.686523
3,60,2.941760,2.997813,168.550446,171.762039
4,60,2.940081,2.999492,168.454254,171.858261
1,61,2.994330,3.043418,171.562500,174.375000
2,61,2.992166,3.045582,171.438492,174.499008
3,61,2.990848,3.046901,171.362961,174.574539
4,61,2.989169,3.048580,171.266754,174.670746
1,62,3.043418,3.092505,174.375000,177.187500
2,62,3.041253,3.094670,174.250977,177.311523
3,62,3.039935,3.095988,174.175446,177.387054
4,62,3.038256,3.097667,174.079254,177.483246
1,63,3.092505,3.141593,177.187500,180.000000
2,63,3.090341,3.143757,177.063492,180.124008
3,63,3.089023,3.145075,176.987961,180.199539
4,63,3.087343,3.146755,176.891754,180.295746
1,64,3.141593,3.190680,180.000000,182.812500
2,64,3.139428,3.192845,179.875977,182.936523
3,64,3.138110,3.194163,179.800461,183.012054
4,64,3.136431,3.195842,179.704239,183.108246
1,65,3.190680,3.239767,182.812500,185.625000
