global_patch_index,wedge_index,column_index,patch_in_column,is_rectangular,corner_code,corner_index,z1_mm,zL_mm
41,25,0,1,1,40,0,294.157,-42.010
41,25,0,1,1,40,1,294.157,151.727
41,25,0,1,1,40,2,191.953,151.727
41,25,0,1,1,40,3,191.953,-42.010
42,25,0,2,0,6,0,294.157,-350.549
42,25,0,2,0,6,1,294.157,-107.275
42,25,0,2,0,6,2,195.699,-42.010
42,25,0,2,0,6,3,191.953,-42.010
42,25,0,2,0,6,4,191.953,-297.843
42,25,0,2,0,6,5,271.466,-350.549
43,26,0,0,0,4,0,315.965,151.569
43,26,0,0,0,4,1,213.732,412.528
43,26,0,0,0,4,2,22.351,412.528
43,26,0,0,0,4,3,22.351,151.569
44,27,0,0,0,5,0,344.660,148.545
44,27,0,0,0,5,1,344.660,330.746
44,27,0,0,0,5,2,294.541,363.754
44,27,0,0,0,5,3,100.068,363.754
44,27,0,0,0,5,4,185.995,148.545
45,28,0,0,0,6,0,225.484,-27.224
45,28,0,0,0,6,1,225.484,226.104
45,28,0,0,0,6,2,128.094,465.843
45,28,0,0,0,6,3,63.727,465.843
45,28,0,0,0,6,4,63.727,1.752
45,28,0,0,0,6,5,75.498,-27.224
46,29,0,0,1,40,0,325.827,186.217
46,29,0,0,1,40,1,325.827,460.246
46,29,0,0,1,40,2,19.979,460.246
46,29,0,0,1,40,3,19.979,186.217
47,29,0,1,0,7,0,325.827,-52.895
47,29,0,1,0,7,1,325.827,11.595
47,29,0,1,0,7,2,257.220,179.976
47,29,0,1,0,7,3,247.823,186.217
47,29,0,1,0,7,4,19.979,186.217
47,29,0,1,0,7,5,19.979,-3.268
47,29,0,1,0,7,6,94.703,-52.895
48,30,0,0,0,6,0,287.674,22.124
48,30,0,0,0,6,1,287.674,427.560
48,30,0,0,0,6,2,232.082,464.078
48,30,0,0,0,6,3,52.820,464.078
48,30,0,0,0,6,4,52.820,44.339
48,30,0,0,0,6,5,86.638,22.124
49,31,0,0,0,7,0,305.329,167.918
49,31,0,0,0,7,1,305.329,430.445
49,31,0,0,0,7,2,298.758,447.312
49,31,0,0,0,7,3,285.672,456.182
49,31,0,0,0,7,4,70.210,456.182
49,31,0,0,0,7,5,70.210,224.757
49,31,0,0,0,7,6,92.353,167.918
50,32,0,0,0,7,0,315.076,115.393
50,32,0,0,0,7,1,315.076,370.129
50,32,0,0,0,7,2,282.388,451.577
50,32,0,0,0,7,3,247.483,474.602
50,32,0,0,0,7,4,139.340,474.602
50,32,0,0,0,7,5,139.340,169.766
50,32,0,0,0,7,6,161.162,115.393
51,33,0,0,1,40,0,341.735,-3.472
51,33,0,0,1,40,1,341.735,417.853
51,33,0,0,1,40,2,146.607,417.853
51,33,0,0,1,40,3,146.607,-3.472
52,33,0,1,0,6,0,341.735,-275.221
52,33,0,1,0,6,1,341.735,-44.882
52,33,0,1,0,6,2,339.969,-40.446
52,33,0,1,0,6,3,285.523,-3.472
52,33,0,1,0,6,4,146.607,-3.472
52,33,0,1,0,6,5,146.607,-142.708
53,34,0,0,0,6,0,306.564,61.190
53,34,0,0,0,6,1,306.564,187.904
53,34,0,0,0,6,2,232.795,376.041
53,34,0,0,0,6,3,47.350,376.041
