Layer_Index,Wedge_Index,Wedge_Start_Rad,Wedge_End_Rad,Wedge_Start_Degrees,Wedge_End_Degrees
0,73,3.583379,3.632467,205.312500,208.125000
1,73,3.582184,3.633662,205.244020,208.193480
2,73,3.580866,3.634980,205.168492,208.269008
3,73,3.579187,3.636659,205.072286,208.365214
0,74,3.632467,3.681554,208.125000,210.937500
1,74,3.631271,3.682749,208.056520,211.005980
2,74,3.629953,3.684067,207.980992,211.081508
3,74,3.628274,3.685746,207.884786,211.177714
0,75,3.681554,3.730641,210.937500,213.750000
1,75,3.680359,3.731836,210.869020,213.818480
2,75,3.679040,3.733155,210.793492,213.894008
3,75,3.677361,3.734834,210.697286,213.990214
0,76,3.730641,3.779729,213.750000,216.562500
1,76,3.729446,3.780924,213.681520,216.630980
2,76,3.728128,3.782242,213.605992,216.706508
3,76,3.726449,3.783921,213.509786,216.802714
0,77,3.779729,3.828816,216.562500,219.375000
1,77,3.778533,3.830011,216.494020,219.443480
2,77,3.777215,3.831329,216.418492,219.519008
3,77,3.775536,3.833009,216.322286,219.615214
0,78,3.828816,3.877903,219.375000,222.187500
1,78,3.827621,3.879099,219.306520,222.255980
2,78,3.826303,3.880417,219.230992,222.331508
3,78,3.824624,3.882096,219.134786,222.427714
0,79,3.877903,3.926991,222.187500,225.000000
1,79,3.876708,3.928186,222.119020,225.068480
2,79,3.875390,3.929504,222.043492,225.144008
3,79,3.873711,3.931183,221.947286,225.240214
0,80,3.926991,3.976078,225.000000,227.812500
1,80,3.925796,3.977273,224.931520,227.880980
2,80,3.924477,3.978592,224.855992,227.956508
3,80,3.922798,3.980271,224.759786,228.052714
0,81,3.976078,4.025166,227.812500,230.625000
1,81,3.974883,4.026361,227.744020,230.693480
2,81,3.973565,4.027679,227.668492,230.769008
3,81,3.971886,4.029358,227.572286,230.865214
0,82,4.025166,4.074253,230.625000,233.437500
1,82,4.023970,4.075448,230.556520,233.505980
2,82,4.022652,4.076766,230.480992,233.581508
3,82,4.020973,4.078445,230.384786,233.677714
0,83,4.074253,4.123340,233.437500,236.250000
1,83,4.073058,4.124536,233.369020,236.318480
2,83,4.071740,4.125854,233.293492,236.394008
3,83,4.070060,4.127533,233.197286,236.490214
0,84,4.123340,4.172428,236.250000,239.062500
1,84,4.122145,4.173623,236.181520,239.130980
2,84,4.120827,4.174941,236.105992,239.206508
3,84,4.119148,4.176620,236.009786,239.302714
0,85,4.172428,4.221515,239.062500,241.875000
1,85,4.171233,4.222710,238.994020,241.943480
2,85,4.169914,4.224029,238.918492,242.019008
3,85,4.168235,4.225708,238.822286,242.115214
0,86,4.221515,4.270603,241.875000,244.687500
